ΚΩΔΙΚΟΣ,ΕΠΟΠΤΕΥΩΝ ΦΟΡΕΑΣ,ΔΙΑΚΡΙΤΙΚΟΣ ΤΙΤΛΟΣ ,ΙΔΙΟΚΤΗΤΗΣ,ΝΟΜΙΜΟΣ ΕΚΠΡΟΣΩΠΟΣ,ΤΑΧΥΔΡΟΜΙΚΗ Δ/ΝΣΗ ΣΧΟΛΕΙΟΥ ,"ΑΡΙΘ. ΑΠΟΦ. ΧΟΡΗΓ. ΑΡΧ. ΑΔΕΙΑΣ, ΦΕΚ ΔΗΜΟΣ.",ΠΑΡΑΤΗΡΗΣΕΙΣ/ ΜΕΤΑΒΟΛΕΣ / ΤΡΟΠΟΠΟΙΗΣΕΙΣ
7191141,Δ/ΝΣΗ Π.Ε. ΑΝΑΤ. ΘΕΣ/ΝΙΚΗΣ,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ – ΣΥΝΝΕΦΟΥΛΑ 2, ΖΗΚΙΔΟΥ Ε & ΣΙΑ ΟΕ,ΖΗΚΙΔΟΥ ΕΛΕΝΗ,"Ν.ΠΛΑΣΤΗΡΑ 45 , ΠΥΛΑΙΑ , ΘΕΣΣΑΛΟΝΙΚΗ ΤΚ 54250 , ΤΗΛ 2310923924","43505/Ν1/06-04-2020 , ΦΕΚ 1498/Β/21-04-2020",
7191143,Δ/ΝΣΗ Π.Ε. ΑΝΑΤ. ΘΕΣ/ΝΙΚΗΣ,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ – ΒΡΕΦΟΝΗΠΙΑΚΟΣ ΣΤΑΘΜΟΣ Η ΧΙΟΝΑΤΗ,ΙΩΑΝΝΗΣ ΑΛΟΥΡΔΑΣ ΚΑΙ ΣΙΑ ΟΕ,ΑΛΟΥΡΔΑΣ ΣΤΕΛΙΟΣ-ΣΤΥΛΙΑΝΟΣ,"Μ. ΑΛΕΞΑΝΔΡΟΥ 13, ΠΑΝΟΡΑΜΑ ΘΕΣΣΑΛΟΝΙΚΗΣ","160481/Ν1/23-11-2020 , ΦΕΚ 5305/Β'/03-12-2020",
7191145,Δ/ΝΣΗ Π.Ε. ΑΝΑΤ. ΘΕΣ/ΝΙΚΗΣ,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΜΗΤΕΡΑ THE CONCEPT SCHOOL,ΜΗΤΕΡΑ ΠΡΟΣΧΟΛΙΚΗ ΑΓΩΓΗ Ο.Ε.,ΔΕΣΠΟΙΝΑ ΧΑΣΑΠΗ,"ΜΙΧΑΗΛ ΨΕΛΛΟΥ 35 , ΘΕΣΣΑΛΟΝΙΚΗ","159021/Ν1/20-11-2020 , ΦΕΚ 5312/Β'/03-12-2020",
7191147,Δ/ΝΣΗ Π.Ε. ΑΝΑΤ. ΘΕΣ/ΝΙΚΗΣ,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΝΕΑ ΑΓΩΓΗ 2,ΝΕΑ ΑΓΩΓΗ ΕΤΑΙΡΕΙΑ ΠΕΡΙΟΡΙΣΜΕΝΗΣ ΕΥΘΥΝΗΣ,ΣΑΡΑΝΤΙΔΗΣ ΕΥΣΤΡΑΤΙΟΣ,"ΜΙΑΟΥΛΗ 1 ΚΑΙ ΧΡΥΣΟΣΤΟΜΟΥ ΣΜΥΡΝΗΣ, ΘΕΣΣΑΛΟΝΙΚΗ","42897/Ν1/14-04-2021, ΦΕΚ 1704/Β/26-04-2021",45433/Ν1/09-04-2024(ΦΕΚ 2702/Β'/09-05-2024)
7191149,Δ/ΝΣΗ Π.Ε. ΑΝΑΤ. ΘΕΣ/ΝΙΚΗΣ,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ECO SCHOOL ΜΠΛΕ ΜΕΛΙΣΣΑ ΜΟΝΟΠΡΟΣΩΠΗ Ι.Κ.Ε,ECO SCHOOL - ΜΠΛΕ ΜΕΛΙΣΣΑ ΜΟΝΟΠΡΟΣΩΠΗ Ι.Κ.Ε,ΚΥΡΙΑΚΟY ΓΕΩΡΓΙΟΣ,"ΛΕΙΒΑΔΙΚΙ ΜΙΚΡΑΣ ΘΕΡΜΗΣ ΘΕΣΣΑΛΟΝΙΚΗΣ, 19ΟΥ ΧΛΜ ΘΕΣΣΑΛΟΝΙΚΗΣ-ΠΕΡΑΙΑΣ","696/Ν1/04-01-2022 , ΦΕΚ 13/Β/07-01-2022",
7191151,Δ/ΝΣΗ Π.Ε. ΑΝΑΤ. ΘΕΣ/ΝΙΚΗΣ,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - GENIUS PRESCHOOL EDUCATION,GENIUS ΥΠΗΡΕΣΙΕΣ ΠΡΟΣΧΟΛΙΚΗΣ - ΠΡΩΤΟΒΑΘΜΙΑΣ ΕΚΠΑΙΔΕΥΣΗΣ ΟΕ,ΣΚΑΡΛΗΣ ΙΟΡΔΑΝΗΣ,"ΑΚΑΔΗΜΙΑΣ 28, ΕΠΕΚΤΑΣΗ ΘΕΡΜΗΣ ΘΕΣΣΑΛΟΝΙΚΗΣ","96775/Ν1/02-08-2022,ΦΕΚ 4235/Β'/10-08-2022",
7191153,Δ/ΝΣΗ Π.Ε. ΑΝΑΤ. ΘΕΣ/ΝΙΚΗΣ,ΙΔΙΩΤΙΚΟ ΝΗΠΙΑΓΩΓΕΙΟ - FOX IN THE PINE,FOX IN THE PINE Ο.Ε.,ΣΟΥΜΠΕΝΙΩΤΗΣ ΝΕΣΤΟΡΑΣ,ΑΠ. ΚΟΥΓΙΑΜΗ & Α. ΠΑΠΑΝΔΡΕΟΥ ΘΕΡΜΗ ΘΕΣΣΑΛΟΝΙΚΗΣ,"151589/Ν1/07-12-2022 , ΦΕΚ 6395/Β/15-12-2022",
7021001,Δ/ΝΣΗ Π.Ε. ΑΡΓΟΛΙΔΑΣ,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΤΟ ΠΑΛΑΤΑΚΙ,Γ ΠΑΝΑΓΗ - Ε. ΑΝΔΡΙΑΝΟΠΟΥΛΟΥ ΟΕ,ΠΑΝΑΓΗ ΓΕΩΡΓΙΑ,ΑΡΙΑ Τ.Κ. 21100 ΝΑΥΠΛΙΟ ΤΗΛ.: 27520-26570,"Φ2ΓΑ/55488/Δ5/9-4-2014,ΦΕΚ 975/Β/ 17-4-14","147288/Ν1/23-09-2019 , ΦΕΚ 3654/Β/01-10-2019"
7021005,Δ/ΝΣΗ Π.Ε. ΑΡΓΟΛΙΔΑΣ,ΙΔΙΩΤΙΚΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΙΣΤΟΣ - ΑΝΩΝΥΜΗ ΕΚΠΑΙΔΕΥΤΙΚΗ - ΤΟΥΡΙΣΤΙΚΗ - ΠΟΛΙΤΙΣΤΙΚΗ ΕΤΑΙΡΕΙΑ - ΙΣΤΟΣ Α.Ε.,ΙΣΤΟΣ - ΑΝΩΝΥΜΗ ΕΚΠΑΙΔΕΥΤΙΚΗ - ΤΟΥΡΙΣΤΙΚΗ - ΠΟΛΙΤΙΣΤΙΚΗ ΕΤΑΙΡΕΙΑ,ΤΟΤΣΙΚΑΣ ΔΗΜΗΤΡΙΟΣ,ΝΟΤΙΟΣ ΠΕΡΙΦΕΡΕΙΑΚΟΣ ΑΡΓΟΥΣ Τ.Κ. 21200 ΑΡΓΟΣ ΤΗΛ.: 27510-69680,"Φ2ΓΑ/196993/Δ5/23-12-2013,ΦΕΚ 419/Β/  20-2-14",
7021009,Δ/ΝΣΗ Π.Ε. ΑΡΓΟΛΙΔΑΣ,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΟΝΕΙΡΟ,Μ. ΜΑΡΑΓΚΟΥ ΚΑΙ ΣΙΑ Ε.Ε.,ΜΑΡΑΓΚΟΥ ΜΑΡΙΑ,3Ο ΧΛΜ. ΑΡΓΟΥΣ-ΝΑΥΠΛΙΟΥ Τ.Κ. 21200 ΔΑΛΑΜΑΝΑΡΑ ΤΗΛ.: 27510-67012,"Φ2ΓΑ/2091/Δ5/9-1-2014,ΦΕΚ 403/Β/ 20-2-14","70012/Ν1/09-06-2020 , ΦΕΚ 2374/Β'/16-06-2020
163185/Ν1/30-11-2020 , ΦΕΚ 5454/Β'/10-12-2020
"
7021011,Δ/ΝΣΗ Π.Ε. ΑΡΓΟΛΙΔΑΣ,ΙΔΙΩΤΙΚΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΠΡΟΤΥΠΑ ΕΚΠΑΙΔΕΥΤΗΡΙΑ ΑΦΩΝ Ι. ΜΑΛΤΕΖΟΥ ΟΕ,ΠΡΟΤΥΠΑ ΕΚΠΑΙΔΕΥΤΗΡΙΑ ΑΦΩΝ Ι. ΜΑΛΤΕΖΟΥ ΟΕ,ΜΑΛΤΕΖΟΥ ΔΕΣΠΟΙΝΑ ,ΦΛΕΜΙΓΚ 8 Τ.Κ. 21200 ΑΡΓΟΣ ΤΗΛ.: 27510-67656,"Φ2ΓΑ/174989/Δ5/18-11-2013,ΦΕΚ  384/Β/ 18-2-14",
7021017,Δ/ΝΣΗ Π.Ε. ΑΡΓΟΛΙΔΑΣ,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΜΑΡΙΝΑΚΗ ΑΘΗΝΑ,ΜΑΡΙΝΑΚΗ ΑΘΗΝΑ,ΜΑΡΙΝΑΚΗ ΑΘΗΝΑ,ΔΡΟΣΙΑ Τ.Κ. 21100 ΑΡΙΑ ΝΑΥΠΛΙΟΥ ΤΗΛ:. 27520-23857,"Φ2ΓΒ/150668/Δ5/16-10-2013,ΦΕΚ 711/Β/ 20-3-14","45249/Ν1/ 18-04-2022,ΦΕΚ 2024/Β/21-04-2022"
7021019,Δ/ΝΣΗ Π.Ε. ΑΡΓΟΛΙΔΑΣ,ΙΔΙΩΤΙΚΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΠΑΙΔΙΚΗ ΑΓΚΑΛΙΑ,ΒΛΑΧΟΠΟΥΛΟΣ ΧΑΡΑΛΑΜΠΟΣ,ΒΛΑΧΟΠΟΥΛΟΣ ΧΑΡΑΛΑΜΠΟΣ,ΤΕΡΜΑ ΑΣΚΛΗΠΙΟΥ Τ.Κ. 21100 ΝΑΥΠΛΙΟ ΤΗΛ.: 2752301600,"Φ2ΓΒ/145737/Δ5/9-10-2013,ΦΕΚ 336/Β/13-2-14",
7031001,Δ/ΝΣΗ Π.Ε. ΑΡΚΑΔΙΑΣ,ΙΔΙΩΤΙΚΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΑΙΚΑΤΕΡΙΝΗ ΒΕΡΒΑΙΝΙΩΤΗ,ΒΕΡΒΑΙΝΙΩΤΗ ΑΙΚΑΤΕΡΙΝΗ,ΒΕΡΒΑΙΝΙΩΤΗ ΑΙΚΑΤΕΡΙΝΗ,3Ο ΧΛΜ. ΤΡΙΠΟΛΗΣ ΣΠΑΡΤΗΣ (Δ.Δ ΤΖΙΒ1) Τ.Κ. 22100 ΤΗΛ.: 2710-223625,"Φ2ΓΑ/119744/Δ5/30-8-2013,ΦΕΚ 151/Β/28-1-14",
7031003,Δ/ΝΣΗ Π.Ε. ΑΡΚΑΔΙΑΣ,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΜΕΛΙ - ΜΕΛΟ,ΣΤΑΜΑΤΙΝΑ Γ. ΜΑΝΤΖΙΩΡΗ & ΣΙΑ ΟΕ,ΜΑΝΤΖΙΩΡΗ ΣΤΑΜΑΤΙΝΑ,"ΟΙΚΙΣΜΟΣ ΜΕΡΚΟΒΟΥΝΙΟΥ, ΤΡΙΠΟΛΗ ΤΗΛ.: 2710-222234","Φ2ΓΑ/148547/Δ5/14-10-2013,ΦΕΚ 620/Β/12-3-14","162537/Ν1/17-10-2019 , ΦΕΚ 3956/Β/29-10-2019"
7031005,Δ/ΝΣΗ Π.Ε. ΑΡΚΑΔΙΑΣ,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΚΩΤΣΙΝΑ ΓΕΩΡΓΙΑ - ΤΟ ΧΑΜΟΓΕΛΟ,ΚΩΤΣΙΝΑ ΓΕΩΡΓΙΑ,ΚΩΤΣΙΝΑ ΓΕΩΡΓΙΑ,"ΑΓ. ΚΩΝΣΤΑΝΤΙΝΟΥ 130 Τ.Κ. 22012 ΤΡΙΠΟΛΗ ΤΗΛ.: 2710-233840, 6944576757","Φ2ΓΑ/135664/Δ5/24-9-2013,ΦΕΚ 
337/Β/13-2-14",
7031007,Δ/ΝΣΗ Π.Ε. ΑΡΚΑΔΙΑΣ,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - Η ΧΩΡΑ ΤΟΥ ΠΟΤΕ-NEVERLAND,Ε. ΚΥΡΙΑΚΟΠΟΥΛΟΥ ΚΑΙ ΣΙΑ Ο.Ε.,ΚΥΡΙΑΚΟΠΟΥΛΟΥ ΕΛΕΝΗ,"ΘΕΣΗ ΚΕΦΑΛΟΓΙΑΝΝΗ, ΜΗΛΙΑ ΤΡΙΠΟΛΕΩΣ","84483/Ν1/13/7/2021, ΦΕΚ 3251/Β/22-07-2021",
7031011,Δ/ΝΣΗ Π.Ε. ΑΡΚΑΔΙΑΣ,"ΙΔΙΩΤΙΚΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΝΗΠΙΑΓΩΓΕΙΟ ΤΗΣ ΙΕΡΑΣ ΜΗΤΡΟΠΟΛΕΩΣ ΜΑΝΤΙΝΕΙΑΣ ΚΑΙ ΚΥΝΟΥΡΙΑΣ ""Η ΖΩΟΔΟΧΟΣ ΠΗΓΗ""","ΕΚΚΛΗΣΙΑΣΤΙΚΟ ΙΔΡΥΜΑ ΠΑΙΔΙΚΟΣ ΣΤΑΘΜΟΣ ΤΗΣ ΙΕΡΑΣ ΜΗΤΡΟΠΟΛΕΩΣ ΜΑΝΤΙΝΕΙΑΣ & ΚΥΝΟΥΡΙΑΣ                          ""Η ΖΩΟΔΟΧΟΣ ΠΗΓΗ""",ΑΛΜΠΑΝΗ ΑΝΑΣΤΑΣΙΑ,ΘΕΣΗ ΚΑΡΤΣΟΒΗΣ Τ.Κ. 22100 ΔΗΜΟΣ ΤΡΙΠΟΛΗΣ ΤΗΛ.: 271-2710547,"137466/Δ1/26-8-2016,ΦΕΚ 3013/Β/21-09-2016","74248/Ν1/13-5-2019 , ΦΕΚ 1902/Β/28-05-2019
159745/Ν1/08-12-2021 , ΦΕΚ 6021/Β/20-12-2021"
7031013,Δ/ΝΣΗ Π.Ε. ΑΡΚΑΔΙΑΣ,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΝΕΚΤΑΡ ΖΩΗΣ,ΑΦΕΣ ΤΕΛΑ Ο.Ε.,ΤΕΛΑ ΑΓΓΕΛΙΚΗ,ΣΠΑΡΤΗΣ 26 Τ.Κ. 22132 ΤΡΙΠΟΛΗ ΤΗΛ: 271-2710910,"155693/Ν1/19-09-2018,ΦΕΚ 4592/Β/18-10-2018",
7031015,Δ/ΝΣΗ Π.Ε. ΑΡΚΑΔΙΑΣ,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΜΙΚΡΗ ΛΙΛΛΙΠΟΥΠΟΛΗ,ΚΑΛΑΣΙΟΥΝΤΑ ΦΩΤΕΙΝΗ,ΚΑΛΑΣΙΟΥΝΤΑ ΦΩΤΕΙΝΗ,ΤΕΡΜΑ ΠΕΛΑΓΟΥΣ Τ.Κ. 22100 ΤΡΙΠΟΛΗ ΤΗΛ.: 6944783706,"178888/N1/15-11-2019,ΦΕΚ 4525/Β/11-12-2019",
7041001,Δ/ΝΣΗ Π.Ε. ΑΡΤΑΣ,ΙΔΙΩΤΙΚΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΜΕΡΑΝΤΖΑ ΕΛΕΝΗ,ΜΕΡΑΝΤΖΑ ΕΛΕΝΗ,ΜΕΡΑΝΤΖΑ ΕΛΕΝΗ,2Ο ΧΛΜ. ΕΘΝΙΚΗΣ ΟΔΟΥ ΑΡΤΑΣ-ΑΓΡΙΝΙΟΥ Τ.Κ. 47100 ΤΗΛ.: 26810-73033,"Φ2ΓΑ/154850/Δ5/21-10-2013,ΦΕΚ 338/Β/13-2-14",Φ2ΜΒ/141820/Δ5/9-9-2014
7041003,Δ/ΝΣΗ Π.Ε. ΑΡΤΑΣ,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΠΑΠΑΧΡΗΣΤΟΣ ΝΙΚΗΦΟΡΟΣ,ΝΙΚΗΦΟΡΟΣ ΠΑΠΑΧΡΗΣΤΟΣ,ΝΙΚΗΦΟΡΟΣ ΠΑΠΑΧΡΗΣΤΟΣ,ΟΔΟΣ ΚΟΝΙΤΣΗΣ - ΕΛΕΟΥΣΑ Τ.Κ. 47100 ΑΡΤΑ ΤΗΛ.: 26810-72344 (ΟΥΡΑΝΙΟ ΤΟΞΟ),"Φ2ΓΑ/117347/Δ5/27-8-2013,ΦΕΚ 139/Β/28-1-14","100557/Ν1/18-06-2018,ΦΕΚ 2444/Β/26-06-2018"
7041007,Δ/ΝΣΗ Π.Ε. ΑΡΤΑΣ,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΚΑΡΟΥΖΕΛ,Θ. ΜΠΟΖΙΟΥ ΚΑΙ ΣΙΑ ΟΕ,ΜΠΟΖΙΟΥ ΘΕΟΔΩΡΑ,ΖΑΡΡΑ 25 ΑΡΤΑ ΤΚ 47132 ΤΗΛ.: 26810-23522,"Φ2ΓΑ/138240/Δ5/27-9-2013,ΦΕΚ 201/Β/3-2-14",129615/Ν1/20-08-2019 ΦΕΚ 3386/Β/03-09-2019
7061005,Δ/ΝΣΗ Π.Ε. ΑΧΑΪΑΣ,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΔΗΜΟΠΟΥΛΟΥ ΜΑΡΙΑΝΘΗ - ΟΥΡΑΝΙΟ ΤΟΞΟ,ΔΗΜΟΠΟΥΛΟΥ ΜΑΡΙΑΝΘΗ,ΔΗΜΟΠΟΥΛΟΥ ΜΑΡΙΑΝΘΗ,ΝΙΚΟΛΑΟΥ ΠΛΑΣΤΗΡΑ 220 Τ.Κ 25100 ΑΙΓΙΟ ΤΗΛ.: 26910-24110,"Φ2ΓΑ/119920/Δ5/2-9-2013,ΦΕΚ 139/Β/28-1-14",
7061007,Δ/ΝΣΗ Π.Ε. ΑΧΑΪΑΣ,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΝΙΚΟΛΟΠΟΥΛΟΥ ΤΡΙΣΕΥΓΕΝΗ - ΠΑΡΑΜΥΘΟΥΠΟΛΗ,ΝΙΚΟΛΟΠΟΥΛΟΥ ΤΡΙΣΕΥΓΕΝΗ,ΝΙΚΟΛΟΠΟΥΛΟΥ ΤΡΙΣΕΥΓΕΝΗ,"ΝΙΚΟΛΑΟΥ ΠΛΑΣΤΗΡΑ 66, 25100 ΑΙΓΙΟ 26910-21267","Φ2ΓΑ/184368/Δ5/3-12-2013,ΦΕΚ 404/Β/20-2-14","54514/Ν1/08-04-2019,ΦΕΚ 1427/Β/24-4-2019"
7061009,Δ/ΝΣΗ Π.Ε. ΑΧΑΪΑΣ,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΣΩΤΗΡΟΠΟΥΛΟΥ ΦΑΝΗ,ΣΩΤΗΡΟΠΟΥΛΟΥ ΦΑΝΗ,ΣΩΤΗΡΟΠΟΥΛΟΥ ΦΑΝΗ,ΠΑΡΟΔΟΣ ΜΕΝΕΛΑΟΥ - ΜΥΡΤΙΑ Τ.Κ.25100 ΑΙΓΙΟ ΤΗΛ.: 26910-25282,"Φ2ΓΑ/133265/Δ5/20-9-2013,ΦΕΚ 285/Β/10-2-14",72142/Ν1/07-05-2018 ΦΕΚ 1798/Β/21-05-2018
7061011,Δ/ΝΣΗ Π.Ε. ΑΧΑΪΑΣ,ΙΔΙΩΤΙΚΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΑΝΑΓΕΝΝΗΣΗ Ι.Κ.Ε.,ΑΝΑΓΕΝΝΗΣΗ Ι.Κ.Ε.,ΜΟΝΑΝΤΕΡΑΣ ΝΙΚΟΛΑΟΣ,ΓΗΡΟΚΟΜΕΙΟΥ 61 Τ.Κ. 26500 ΠΑΤΡΑ ΤΗΛ.: 2610-224260,"Φ2Β/181672/Δ5/27-11-2013,ΦΕΚ 402/Β/ 20-2-14",
7061013,Δ/ΝΣΗ Π.Ε. ΑΧΑΪΑΣ,"ΙΔΙΩΤΙΚΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΦΙΛΕΚΠΑΙΔΕΥΤΙΚΗ ΕΤΑΙΡΕΙΑ, ΑΡΣΑΚΕΙΑ - ΤΟΣΙΤΣΕΙΑ ΣΧΟΛΕΙΑ, ΑΡΣΑΚΕΙΟ ΝΗΠΙΑΓΩΓΕΙΟ ΠΑΤΡΩΝ",ΦΙΛΕΚΠΑΙΔΕΥΤΙΚΗ ΕΤΑΙΡΕΙΑ,ΜΠΑΜΠΙΝΙΩΤΗΣ ΓΕΩΡΓΙΟΣ,"ΟΔΟΣ ΑΓΙΑΣ ΠΑΡΑΣΚΕΥΗΣ, ΠΛΑΤΑΝΙ ΡΙΟΥ Τ.Κ. 26504 ΤΗΛ.: 210-6755555","146443/Δ1/9-9-2016,ΦΕΚ 3186/Β/05-10-16",
7061015,Δ/ΝΣΗ Π.Ε. ΑΧΑΪΑΣ,ΙΔΙΩΤΙΚΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΤΟ ΠΑΡΑΜΥΘΙ Ι.Κ.Ε,ΤΟ ΠΑΡΑΜΥΘΙ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ,ΜΑΝΙΚΑ ΑΙΚΑΤΕΡΙΝΗ,ΑΡΜΕΝΙΣΤΗ 9 Κ. ΣΥΧΑΙΝΑ Τ.Κ 26443 ΠΑΤΡΑ ΤΗΛ.: 2610-421663,"Φ2ΓΑ/113021/Δ5/14-8-2013,ΦΕΚ 139/Β/28-1-14","ΤΡΟΠΟΠΟΙΗΣΗ 59461/Ν1/17-04-2018 ,ΦΕΚ 1621/Β/10-05-2018
148765/Ν1/25-09-2019 , ΦΕΚ 3713/Β/07-10-2019
176651/N1/28-12-2020 ,ΦΕΚ 5884/B'/31-12-2020
ΜΕΤΑΒΙΒΑΣΗ 101457/Ν1/18-08-2021,ΦΕΚ 4064/Β/06-09-2021"
7061017,Δ/ΝΣΗ Π.Ε. ΑΧΑΪΑΣ,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΝΑΥΤΙΛΟΣ,ΧΡΙΣΤΟΠΟΥΛΟΥ ΕΛΕΝΗ-ΕΙΡΗΝΗ,ΧΡΙΣΤΟΠΟΥΛΟΥ ΕΛΕΝΗ-ΕΙΡΗΝΗ,ΗΡΩΩΝ ΠΟΛΥΤΕΧΝΕΙΟΥ 50 Τ.Κ. 26504 ΡΙΟ ΠΑΤΡΑ ΤΗΛ.: 2610-993339 ΦΑΞ: 2610-993771,"Φ2ΓΑ/119746/Δ5/30-8-2013,ΦΕΚ 187/Β/31-1-14","147822/Ν1/10-09-2018,ΦΕΚ 4547/Β/23-10-2018
150235/Ν1/27-09-2019 , ΦΕΚ 3756/Β/11-10-2019
56688/Ν1/21-05-2021,ΦΕΚ 2303/Β/01-06-2021"
7061021,Δ/ΝΣΗ Π.Ε. ΑΧΑΪΑΣ,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΠΕΛΑΡΓΟΣ Α.Ε.,ΠΕΛΑΡΓΟΣ -  ΠΡΟΣΧΟΛΙΚΗ ΑΓΩΓΗ ΟΕ,ΓΕΩΡΓΙΟΥ ΧΡΙΣΤΟΦΟΡΟΣ-ΔΗΜΗΤΡΙΟΣ,"ΠΕΛΟΠΟΣ 86, ΕΓΛΥΚΑΔΑ ΠΑΤΡΑΣ Τ.Κ. 26335 ΠΑΤΡΑ ΤΗΛ.: 2610-623469 2610-624555","Φ2ΓΑ/186398/Δ5/5-12-2013,ΦΕΚ 448/Β/24-2-14","41616/Ν1/31-03-2020 , ΦΕΚ 1591/Β/27-04-2020,  125766/2-1-2023, ΦΕΚ 6388/Β/7-11-2023 ΜΕΤΑΒΙΒΑΣΗ"
7061023,Δ/ΝΣΗ Π.Ε. ΑΧΑΪΑΣ,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ-ΗΛΙΟΧΩΡΑ- ΚΩΝΣΤΑΝΤΙΝΑ ΚΑΡΑΠΑΠΑ,ΚΑΡΑΠΑΠΑ ΚΩΝΣΤΑΝΤΙΝΑ,ΚΑΡΑΠΑΠΑ ΚΩΝΣΤΑΝΤΙΝΑ,ΚΛΑΔΕΟΥ 14 Τ.Κ.26442 ΠΑΤΡΑ ΤΗΛ.: 2610-454787,"Φ2ΓΑ/135668/Δ5/24-9-2013,ΦΕΚ 285/Β/10-2-14","ΤΡΟΠΟΠΟΙΗΣΗ 102169/Ν1/19-06-2017 ΦΕΚ 2189/Β/27-06-2017
ΤΡΟΠΟΠΟΙΗΣΗ 68923/Ν1/6-5-2019 ΦΕΚ 1999/Β/31-05-2019 ΤΡΟΠΟΠΟΙΗΣΗ 126218/Ν1/25-10-2024 ΦΕΚ 6119/B/5-11-2024"
